Ruth,12,28,2012
Casey,12,24,2012
Georgia,12,19,2012
Jeremy,12,18,2012
Zoe,12,17,2012
Richard,12,16,2012
Alicia,12,16,2012
Noel,12,13,2012
Nathan,12,11,2012
Christopher,12,10,2012
Rachel,12,9,2012
Lucy,12,9,2012
Andrew,12,7,2012
Ashton,12,4,2012
Aiden,12,3,2012
Alexia,12,1,2012
Malia,11,28,2012
Anna,11,24,2012
Marisa,11,20,2012
Eli,11,20,2012
Annie,11,18,2012
Lucy,11,17,2012
Savannah,11,16,2012
Edward,11,16,2012
Dolly,11,16,2012
Francis,11,15,2012
Denise,11,15,2012
Claire,11,15,2012
Daniel,11,7,2012
Nathaniel,11,6,2012
Jeffrey,11,2,2012
Emma,10,27,2012
Wayne,10,26,2012
Leo,10,25,2012
Eric,10,23,2012
Marie,10,21,2012
Isaiah,10,21,2012
Conner,10,21,2012
Gabriel,10,20,2012
Ann,10,20,2012
Mia,10,17,2012
Liam,10,15,2012
James,10,13,2012
Jessie,10,11,2012
Zack,10,9,2012
Taylor,10,8,2012
Shane,10,7,2012
Virginia,10,2,2012
Stephanie,9,28,2012
Alex,9,28,2012
Faith,9,25,2012
Madeline,9,24,2012
Mia,9,22,2012
Eric,9,22,2012
Cynthia,9,22,2012
Madeline,9,20,2012
Davin,9,20,2012
Lewis,9,18,2012
Mary,9,13,2012
April,9,8,2012
Hunter,9,6,2012
Marissa,9,3,2012
Joel,9,2,2012
Jeffrey,8,28,2012
Frank,8,27,2012
Naomi,8,20,2012
Leslie,8,18,2012
Grayson,8,17,2012
Isiah,8,16,2012
Savannah,8,14,2012
Cody,8,14,2012
Peyton,8,13,2012
Noel,8,13,2012
Andrea,8,12,2012
Nicole,8,10,2012
Jenna,8,10,2012
Georgia,8,8,2012
Sean,8,6,2012
Marissa,8,6,2012
Vincent,8,5,2012
Sophia,8,5,2012
Raymond,8,5,2012
Julianna,8,2,2012
Jason,8,2,2012
Linda,8,1,2012
Shannon,7,28,2012
Gabriel,7,28,2012
Ruby,7,27,2012
Michael,7,23,2012
Megan,7,21,2012
Sylas,7,19,2012
Jonathan,7,17,2012
Denise,7,16,2012
Marcus,7,15,2012
Olivia,7,14,2012
Samantha,7,13,2012
Lilianna,7,11,2012
Richard,7,8,2012
Matthew,7,7,2012
Kyle,7,7,2012
Harry,7,6,2012
Lily,7,4,2012
Daisy,7,4,2012
Noel,6,26,2012
Jonathan,6,26,2012
Elizabeth,6,26,2012
Lucy,6,25,2012
Jacob,6,24,2012
Joshua,6,23,2012
Caroline,6,23,2012
Caroline,6,22,2012
Blake,6,21,2012
Robert,6,17,2012
Thomas,6,15,2012
Troy,6,14,2012
Maggie,6,14,2012
Shane,6,9,2012
Oliver,6,9,2012
Sierra,6,8,2012
Moses,6,8,2012
Frank,6,8,2012
Jamison,6,6,2012
Reggie,6,4,2012
Jane,6,3,2012
Davin,6,1,2012
David,6,1,2012
Nadia,5,27,2012
Wayne,5,26,2012
Maxwell,5,25,2012
Aiden,5,25,2012
Jack,5,23,2012
Isaiah,5,21,2012
Casey,5,21,2012
Rose,5,19,2012
Marisa,5,19,2012
Ethan,5,19,2012
Madeline,5,17,2012
Evelyn,5,17,2012
Travis,5,16,2012
George,5,14,2012
Jessie,5,12,2012
Gabriel,5,8,2012
Piper,5,6,2012
Travis,5,2,2012
Amy,4,24,2012
Jonas,4,22,2012
Aurora,4,20,2012
Andrea,4,20,2012
Peyton,4,18,2012
Eleanor,4,18,2012
Zack,4,17,2012
Hank,4,17,2012
Penelope,4,16,2012
Brady,4,16,2012
Rose,4,15,2012
Brady,4,15,2012
Billy,4,14,2012
Ashton,4,11,2012
Clara,4,10,2012
Jordan,4,9,2012
Conner,4,9,2012
Brian,4,9,2012
Ann,4,4,2012
Bradley,4,3,2012
Danielle,3,27,2012
Angela,3,25,2012
Tessa,3,24,2012
Danielle,3,23,2012
Catherine,3,20,2012
Viola,3,19,2012
Valerie,3,19,2012
Louis,3,19,2012
Drew,3,15,2012
Richard,3,14,2012
Katherine,3,11,2012
Juan,3,11,2012
Erin,3,11,2012
Megan,3,10,2012
Derek,3,9,2012
Kenneth,2,23,2012
Henry,2,22,2012
Lucas,2,19,2012
Brian,2,19,2012
Alex,2,19,2012
Abigail,2,16,2012
Georgia,2,12,2012
Annabella,2,12,2012
Adrianna,2,9,2012
Damien,2,8,2012
Bella,2,4,2012
Angelina,2,4,2012
Chris,2,2,2012
Sarah,1,28,2012
Christina,1,25,2012
Erica,1,23,2012
Danielle,1,20,2012
Elias,1,19,2012
Emmanuel,1,18,2012
Ian,1,15,2012
Juan,1,14,2012
Juan,1,14,2012
Reggie,1,11,2012
Jordan,1,11,2012
Lilly,1,8,2012
Erin,1,8,2012
Mark,1,7,2012
Hannah,1,4,2012
Erica,1,4,2012
Hank,1,2,2012
Summer,1,1,2012
Stephen,1,1,2012
Sonia,1,1,2012
Joel,1,1,2012
Shannon,12,25,2011
Naomi,12,24,2011
Maggie,12,24,2011
Dahlia,12,24,2011
Zack,12,23,2011
Jillian,12,22,2011
Aaron,12,22,2011
Joey,12,21,2011
Steven,12,19,2011
Eli,12,16,2011
Carly,12,16,2011
Brent,12,16,2011
Ava,12,15,2011
Morgan,12,12,2011
Clara,12,11,2011
Lillian,12,10,2011
Leo,12,10,2011
Jordan,12,8,2011
